,city,openings,lat,long
210,"Blue Bell, PA",1,40.1523309,-75.26628900000001
211,"Kalama, WA",1,46.0084472,-122.8445508
212,"Moses Lake, WA",1,47.1301417,-119.2780771
213,"Watertown, MA",1,42.3709299,-71.1828321
214,"Las Vegas, NV",1,36.1699412,-115.1398296
215,"Buena Park, CA",1,33.8674044,-117.9981387
216,"Reynoldsburg, OH",1,39.9547861,-82.81211909999999
217,"Springfield, VA",1,38.7892801,-77.18720359999999
218,"Spring House, PA",1,40.1853862,-75.2276756
219,"Framingham, MA",1,42.279286,-71.4161565
220,"Northville, MI",1,42.4311464,-83.4832692
221,"Cleveland, OH",1,41.49932,-81.6943605
222,"Kirkland, WA",1,47.6768927,-122.2059833
223,"Lehi, UT",1,40.3916172,-111.8507662
224,"Coral Springs, FL",1,26.271192,-80.2706044
225,"Newark, DE",1,39.6837226,-75.74965720000002
226,"Centennial, CO",1,39.5807452,-104.8771726
227,"Holyoke, MA",1,42.2042586,-72.6162009
228,"Auburn Hills, MI",1,42.6875323,-83.2341028
229,"Broomfield, CO",1,39.9205411,-105.0866504
230,"Lewisville, TX",1,33.046233,-96.994174
231,"South Bend, IN",1,41.6763545,-86.25198979999999
232,"Dayton, OH",1,39.7589478,-84.1916069
233,"East Windsor, CT",1,41.9161361,-72.5578799
234,"Dublin, OH",1,40.0992294,-83.1140771
235,"Bedford, NH",1,42.9463291,-71.51320079999999
236,"Purchase, NY",1,41.0400135,-73.7144477
237,"San Francisco Bay Area, CA",1,37.8271784,-122.2913078
238,"Downers Grove, IL",1,41.8089191,-88.01117459999999
239,"Redlands, CA",1,34.0555693,-117.1825381
240,"Dublin, CA",1,37.7021521,-121.9357918
241,"Campbell, CA",1,37.2871651,-121.9499568
242,"Reno, NV",1,39.5296329,-119.8138027
243,"Little Rock, AR",1,34.7464809,-92.28959479999999
244,"Jupiter, FL",1,26.9342246,-80.0942087
245,"San Leandro, CA",1,37.7249296,-122.1560768
246,"Anoka, MN",1,45.1977428,-93.3871758
247,"Detroit, MI",1,42.331427,-83.0457538
248,"Bethesda, MD",1,38.984652,-77.0947092
249,"South Plainfield, NJ",1,40.5792701,-74.4115401
