,city,openings,lat,long,g_metro,state_1
178,"South Amboy, NJ",1,40.4778838,-74.290702,New Jersey,NJ
179,"Reno, NV",1,39.5296329,-119.8138027,Nevada,NV
180,"Champaign, IL",1,40.1164204,-88.2433829,Champaign County,IL
181,"Bothell, WA",1,47.76011099999999,-122.2054452,Washington,WA
182,"Ronkonkoma, NY",1,40.80641869999999,-73.1241488,Suffolk County,NY
183,"San Leandro, CA",1,37.7249296,-122.1560768,California,CA
184,"New Brunswick, NJ",1,40.4862157,-74.4518188,New Jersey,NJ
185,"Los Alamos, NM",1,35.8800364,-106.3031138,New Mexico,NM
186,"Aurora, CO",1,39.7294319,-104.8319195,Colorado,CO
187,"Campbell, CA",1,37.2871651,-121.9499568,California,CA
188,"Sterling, VA",1,39.0066993,-77.4291298,Virginia,VA
189,"Lake Forest, IL",1,42.2586342,-87.840625,Illinois,IL
190,"Miami, FL",1,25.7616798,-80.1917902,Florida,FL
191,"Spartanburg, SC",1,34.9495672,-81.9320482,South Carolina,SC
192,"Missouri City, TX",1,29.6185669,-95.5377215,Texas,TX
193,"San Francisco Bay Area, CA",1,37.8271784,-122.2913078,United States,CA
194,"Jupiter, FL",1,26.9342246,-80.0942087,Florida,FL
195,"Anoka, MN",1,45.1977428,-93.3871758,Minnesota,MN
196,"Downers Grove, IL",1,41.8089191,-88.01117459999999,Illinois,IL
197,"Worcester, MA",1,42.2625932,-71.8022934,Massachusetts,MA
198,"Framingham, MA",1,42.279286,-71.4161565,Massachusetts,MA
199,"Gaithersburg, MD",1,39.1434406,-77.2013705,Montgomery County,MD
200,"Las Vegas, NV",1,36.1699412,-115.1398296,Nevada,NV
201,"College Park, MD",1,38.9896967,-76.93776,Prince George's County,MD
202,"Lewisville, TX",1,33.046233,-96.994174,Texas,TX
203,"Murray, UT",1,40.6668916,-111.8879909,Utah,UT
204,"Reynoldsburg, OH",1,39.9547861,-82.81211909999999,Franklin County,OH
205,"Cincinnati, OH",1,39.1031182,-84.5120196,Ohio,OH
206,"Blue Bell, PA",1,40.1523309,-75.26628900000001,Montgomery County,PA
207,"Chico, CA",1,39.7284944,-121.8374777,California,CA
208,"Moses, WA",1,47.1301417,-119.2780771,Washington,WA
209,"Pearland, TX",1,29.5635666,-95.2860474,Texas,TX
210,"Moses Lake, WA",1,47.1301417,-119.2780771,Washington,WA
211,"Ithaca, NY",1,42.4439614,-76.5018807,Tompkins County,NY
212,"Newark, DE",1,39.6837226,-75.74965720000002,Delaware,DE
213,"Springfield, VA",1,38.7892801,-77.18720359999999,Fairfax County,VA
214,"Ambler, PA",1,40.1545535,-75.22156509999999,Pennsylvania,PA
215,"Centennial, CO",1,39.5807452,-104.8771726,Colorado,CO
216,"Winston-Salem, NC",1,36.09985959999999,-80.244216,Forsyth County,NC
217,"Temple Terrace, FL",1,28.0352964,-82.3892596,Florida,FL
218,"Birmingham, AL",1,33.5185892,-86.8103567,Alabama,AL
219,"Redlands, CA",1,34.0555693,-117.1825381,California,CA
220,"Montvale, NJ",1,41.0467635,-74.0229173,New Jersey,NJ
221,"Sugar Land, TX",1,29.6196787,-95.6349463,Texas,TX
222,"Hillsborough, NC",1,36.0754183,-79.0997347,Orange County,NC
223,"Fort Lauderdale, FL",1,26.1224386,-80.13731740000001,Florida,FL
224,"Cleveland, OH",1,41.49932,-81.6943605,Ohio,OH
225,"San Carlos, CA",1,37.5071591,-122.2605222,California,CA
226,"Watertown, MA",1,42.3709299,-71.1828321,Massachusetts,MA
227,"Clearwater, FL",1,27.9658533,-82.8001026,Florida,FL
228,"Garden Grove, CA",1,33.7742692,-117.9379952,California,CA
229,"Westminster, CA",1,33.7591757,-117.9897058,California,CA
230,"Schaumburg, IL",1,42.0333607,-88.0834059,Cook County,IL
231,"Providence, RI",1,41.8239891,-71.4128343,Rhode Island,RI
232,"Kalama, WA",1,46.0084472,-122.8445508,Washington,WA
233,"Auburn Hills, MI",1,42.6875323,-83.2341028,Michigan,MI
234,"South Portland, ME",1,43.6414716,-70.2408811,Maine,ME
235,"Mason, OH",1,39.3600586,-84.309939,Warren County,OH
236,"Rochester, NY",1,43.15657789999999,-77.6088465,New York,NY
237,"Vancouver, WA",1,45.6272259,-122.6727305,Washington,WA
238,"Northville, MI",1,42.4311464,-83.4832692,Michigan,MI
239,"Southfield, MI",1,42.4733688,-83.2218731,Michigan,MI
240,"Dayton, OH",1,39.7589478,-84.1916069,Montgomery County,OH
241,"Naperville, IL",1,41.7508391,-88.1535352,Illinois,IL
242,"Somerville, MA",1,42.3875968,-71.0994968,Massachusetts,MA
243,"Chesapeake, VA",1,36.7682088,-76.2874927,United States,VA
244,"Spring, TX",1,30.0799405,-95.41716009999999,Texas,TX
245,"Omaha, NE",1,41.2565369,-95.9345034,Douglas County,NE
246,"Lenexa, KS",1,38.9536174,-94.73357089999999,Kansas,KS
247,"Middleton, WI",1,43.09721740000001,-89.5042876,Wisconsin,WI
248,"Nashville, TN",1,36.1626638,-86.7816016,Tennessee,TN
249,"Burlingame, CA",1,37.5778696,-122.34809,California,CA
250,"Estero, FL",1,26.438136,-81.8067523,Florida,FL
251,"Orange, CA",1,33.7879139,-117.8531007,California,CA
252,"Little Rock, AR",1,34.7464809,-92.28959479999999,Pulaski County,AR
253,"Woodland Hills, CA",1,34.165357,-118.6089752,Los Angeles County,CA
254,"Northbrook, IL",1,42.1275267,-87.82895479999999,Cook County,IL
255,"South Bend, IN",1,41.6763545,-86.25198979999999,St. Joseph County,IN
256,"Kansas City, MO",1,39.0997265,-94.5785667,Missouri,MO
257,"Lagrange, KY",1,38.4075666,-85.37884679999999,Kentucky,KY
258,"Lakeland, FL",1,28.0394654,-81.9498042,Florida,FL
259,"Traverse City, MI",1,44.7630567,-85.62063169999999,Grand Traverse County,MI
260,"Lehi, UT",1,40.3916172,-111.8507662,Utah,UT
261,"Holyoke, MA",1,42.2042586,-72.6162009,Massachusetts,MA
262,"Emeryville, CA",1,37.831316,-122.2852473,California,CA
263,"Hercules, CA",1,38.0171441,-122.2885808,California,CA
264,"Bolingbrook, IL",1,41.69864159999999,-88.0683955,Will County,IL
265,"Charleston, SC",1,32.7764749,-79.93105120000001,South Carolina,SC
266,"Leesburg, VA",1,39.1156615,-77.56360149999999,Virginia,VA
267,"Akron, OH",1,41.0814447,-81.51900529999999,Ohio,OH
268,"Research Triangle Park, NC",1,35.8991678,-78.86364019999999,Triangle,NC
269,"Coral Springs, FL",1,26.271192,-80.2706044,Florida,FL
270,"Titusville, NJ",1,40.309579,-74.8770282,Upper Makefield Township,NJ
271,"Glen Mills, PA",1,39.9016273,-75.5103484,Delaware County,PA
272,"Johnston, IA",1,41.6709834,-93.7130493,Polk County,IA
273,"Lakewood, CO",1,39.7047095,-105.0813734,Colorado,CO
274,"Midland, TX",1,31.9973456,-102.0779146,Texas,TX
275,"Burlington, NC",1,36.0956918,-79.43779909999999,North Carolina,NC
276,"Knoxville, TN",1,35.9606384,-83.9207392,Tennessee,TN
277,"Bethesda, MD",1,38.984652,-77.0947092,Montgomery County,MD
278,"Broomfield, CO",1,39.9205411,-105.0866504,Colorado,CO
279,"East Windsor, CT",1,41.9161361,-72.5578799,Connecticut,CT
280,"Lake Oswego, OR",1,45.4156817,-122.7159726,Oregon,OR
281,"Santa Rosa, CA",1,38.440429,-122.7140548,California,CA
282,"Purchase, NY",1,41.0400135,-73.7144477,Harrison,NY
